tweet,date,city,user_location,place,coordinates,id,link
Ahora seguramente dirá Claudia López que fueron entrenados en Venezuela... O algo se le ocurrirá https://t.co/qKgbbvVYns,2020-11-08 13:25:36,Bogota,Bogotá,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1325429265735749632,https://twitter.com/i/web/status/1325429265735749632
@Citytv Ahora Claudia López dirá que son policías venezolanos :V,2020-11-08 13:23:22,Bogota,bogota,,,1325428703246114816,https://twitter.com/i/web/status/1325428703246114816
"@dora_garavito @ClaudiaLopez Feliz mente casada una familia ejemplar 👌pero con una 🤡de 💩 cómo Claudia López , cualquiera se sale de casillas  con las babosadas que dice y más como tiene a Bogotá todo un desastre y caus de Vándalos #RevocatoriaClaudiaLopez",2020-11-08 12:51:29,Bogota,Bogotá,,,1325420676677767168,https://twitter.com/i/web/status/1325420676677767168
Debe ser un policía venezolano: Claudia López 🙄 https://t.co/nMnDyqfnbO,2020-11-08 12:36:49,Bogota,"Bogota, Colombia","Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1325416985895825410,https://twitter.com/i/web/status/1325416985895825410
"Migrantes están detrás del 48 % de los robos en @TransMilenio: Claudia López
https://t.co/XgHOREHgri",2020-11-08 12:00:00,Bogota,"Bogotá, Colombia",,,1325407720892141568,https://twitter.com/i/web/status/1325407720892141568
"#Entrevistas. 'Es injusto que me acusen de xenófoba’: Claudia López. La alcaldesa de Bogotá habla de su primer año. Dice que es injusto que la acusen de xenófoba.

https://t.co/IThZNs2565",2020-11-08 11:55:44,Bogota,Bogotá,,,1325406647989264386,https://twitter.com/i/web/status/1325406647989264386
@ClaudiaLopez Válgame dios..... que caradura eres Claudia lopez,2020-11-08 11:36:01,Bogota,bogota,,,1325401684537958401,https://twitter.com/i/web/status/1325401684537958401
"#Voces | Claudia López reconoció la importancia de que la nueva vicepresidenta de los Estados Unidos sea mujer

👉 https://t.co/wc7IJfSTzp https://t.co/MMsWIrTy61",2020-11-08 09:30:00,Bogota,Bogotá,,,1325369972965707776,https://twitter.com/i/web/status/1325369972965707776
Plan Marshall pasa a sanción de la alcaldesa Claudia López: Concejo aprobó el proyecto https://t.co/7uHvFmcghi,2020-11-08 07:16:02,Bogota,"Bogotá, Colombia",,,1325336261389811714,https://twitter.com/i/web/status/1325336261389811714
"@AngelicaLozanoC Claudia López la reina del populismo en campaña dijo una cosa ahora alcaldesa hace otra en plena pandemia sale a las calles a inaugurar un bicicarril...
Se esconden detrás del feminismo pero en pandemia sacan familias a la calle.",2020-11-08 07:05:20,Bogota,"La Calera, Colombia",,,1325333568055336960,https://twitter.com/i/web/status/1325333568055336960
"🚨 Claudia López felicita a Policía por golpe a banda de venezolanos. Confirmó operativo contra alias Willy Melean, uno de los venezolanos más buscados en su país y quien lideraba una banda que delinquía en Colombia. Le contamos 👉 https://t.co/y3mIbsYbSB https://t.co/hLRghWbpHR",2020-11-08 06:20:26,Bogota,Bogotá,,,1325322269024002049,https://twitter.com/i/web/status/1325322269024002049
"🚨 Alcaldesa Claudia López confirmó golpe a alias Willy Melean, uno de los venezolanos más buscados en su país y quien lideraba una banda que delinquía en Colombia. Le contamos 👉 https://t.co/I0oVRkHDU3 https://t.co/QHkzimjMNU",2020-11-08 06:15:55,Bogota,"Bogotá, Colombia",,,1325321131214114817,https://twitter.com/i/web/status/1325321131214114817
@sergio_fajardo @JoeBiden @KamalaHarris Falta que usted y Claudia López se retiren para respirar aire fresco en Colombia,2020-11-08 05:57:46,Bogota,Bogota,,,1325316561272442880,https://twitter.com/i/web/status/1325316561272442880
